window_num,is_start,is_end,oos_start,oos_end,is_sharpe,oos_sharpe,oos_return_pct,best_params,oos_trades,oos_max_dd,is_days,oos_days,oos_final_equity
1,2014-09-17,2015-09-16,2015-09-17,2015-12-16,1.6679,-2.4198,-3.36,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.03, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",2,3.36,365,91,96.64
2,2015-03-18,2016-03-16,2016-03-17,2016-06-15,-1.1983,-3.017,-1.9226,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.03, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",3,1.9271,365,91,94.782
3,2015-09-16,2016-09-14,2016-09-15,2016-12-14,-1.5428,-2.247,-1.0125,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.03, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,1.0125,365,91,93.8224
4,2016-03-16,2017-03-15,2017-03-16,2017-06-14,-0.58,1.866,4.8772,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.03, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",3,1.6239,365,91,98.3983
5,2016-09-14,2017-09-13,2017-09-14,2017-12-13,-0.1466,0.0,0.0,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",0,0.0,365,91,98.3983
6,2017-03-15,2018-03-14,2018-03-15,2018-06-13,-0.4448,0.0,0.0,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",0,0.0,365,91,98.3983
7,2017-09-13,2018-09-12,2018-09-13,2018-12-12,-0.5729,-2.2639,-1.0563,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",2,1.0563,365,91,97.3589
8,2018-03-14,2019-03-13,2019-03-14,2019-06-12,0.4784,1.8709,5.5057,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.03, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",2,0.2891,365,91,102.7191
9,2018-09-12,2019-09-11,2019-09-12,2019-12-11,0.6271,-2.3847,-0.4285,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,0.4285,365,91,102.2789
10,2019-03-13,2020-03-11,2020-03-12,2020-06-10,0.9926,0.0,0.0,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",0,0.0,365,91,102.2789
11,2019-09-11,2020-09-09,2020-09-10,2020-12-09,-0.215,-2.141,-1.0513,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,1.0513,365,91,101.2036
12,2020-03-11,2021-03-10,2021-03-11,2021-06-09,1.1007,-2.3652,-0.4006,"{""B_BASE_RISK_PCT"": 0.04, ""B_TAKE_PROFIT_MULT"": 3.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 3.0, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,0.4006,365,91,100.7982
13,2020-09-09,2021-09-08,2021-09-09,2021-12-08,1.0104,-2.3842,-2.5535,"{""B_BASE_RISK_PCT"": 0.04, ""B_TAKE_PROFIT_MULT"": 3.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 3.0, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,2.5535,365,91,98.2243
14,2021-03-10,2022-03-09,2022-03-10,2022-06-08,-1.3722,-2.314,-0.4051,"{""B_BASE_RISK_PCT"": 0.04, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,0.4051,365,91,97.8264
15,2021-09-08,2022-09-07,2022-09-08,2022-12-07,-0.3463,0.7369,0.4264,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",2,0.6322,365,91,98.2436
16,2022-03-09,2023-03-08,2023-03-09,2023-06-07,0.9876,0.0,0.0,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.03, ""D_LONG_TP_MULT"": 3.5, ""D_LONG_SL_FLOOR"": 0.2}",0,0.0,365,91,98.2436
17,2022-09-07,2023-09-06,2023-09-07,2023-12-06,0.9933,-2.3842,-0.5118,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.03, ""D_LONG_TP_MULT"": 3.5, ""D_LONG_SL_FLOOR"": 0.2}",1,0.5118,365,91,97.7407
18,2023-03-08,2024-03-06,2024-03-07,2024-06-05,0.5737,-2.3409,-0.4304,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.04, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.03, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,0.4304,365,91,97.3201
19,2023-09-06,2024-09-04,2024-09-05,2024-12-04,0.5879,-2.6295,-0.2705,"{""B_BASE_RISK_PCT"": 0.02, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.04, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,0.2705,365,91,97.0568
20,2024-03-06,2025-03-05,2025-03-06,2025-06-04,-0.1599,-2.3601,-0.4115,"{""B_BASE_RISK_PCT"": 0.04, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",1,0.4115,365,91,96.6574
21,2024-09-04,2025-09-03,2025-09-04,2025-12-03,-0.5013,2.0187,8.9838,"{""B_BASE_RISK_PCT"": 0.04, ""B_TAKE_PROFIT_MULT"": 2.0, ""B_STOP_LOSS_FLOOR"": 0.25, ""C_PRE_RISK_PCT"": 0.02, ""C_POST_TP_MULT"": 1.5, ""C_POST_SL_FLOOR"": 0.2, ""D_LONG_RISK_PCT"": 0.015, ""D_LONG_TP_MULT"": 2.0, ""D_LONG_SL_FLOOR"": 0.2}",6,4.3911,365,91,105.341
